TOKEN TABLE
===========

No.  | Type                     | Lexeme                                       
112  | ASSIGNMENT_MINUS_ASSIGN  | -=                                           
113  | INTEGER_LITERAL          | 5                                            
114  | KEYWORD_ASK              | ask                                          
115  | INVALID                  | “Is                                        
116  | IDENTIFIER               | it                                           
117  | NOISE_A                  | a                                            
118  | IDENTIFIER               | yes                                          
119  | KEYWORD_OR               | or                                           
120  | INVALID                  | no?”                                       
121  | NOISE_AS                 | as                                           
122  | IDENTIFIER               | answer                                       
123  | KEYWORD_IF               | if                                           
124  | IDENTIFIER               | X                                            
125  | DOT                      | .                                            
126  | IDENTIFIER               | power                                        
127  | KEYWORD_IS               | is                                           
128  | INTEGER_LITERAL          | 100                                          
129  | COLON                    | :                                            
130  | IDENTIFIER               | Transform                                    
131  | LPAREN                   | (                                            
132  | IDENTIFIER               | X                                            
133  | RPAREN                   | )                                            
134  | KEYWORD_IF               | if                                           
135  | IDENTIFIER               | X                                            
136  | DOT                      | .                                            
137  | IDENTIFIER               | power                                        
138  | KEYWORD_IS               | is                                           
139  | INTEGER_LITERAL          | 100                                          
140  | COLON                    | :                                            
141  | IDENTIFIER               | Transform                                    
142  | LPAREN                   | (                                            
143  | IDENTIFIER               | X                                            
144  | RPAREN                   | )                                            
145  | KEYWORD_ELIF             | elif                                         
146  | IDENTIFIER               | X                                            
147  | DOT                      | .                                            
148  | IDENTIFIER               | power                                        
149  | RELATIONAL_LESS          | <                                            
150  | INTEGER_LITERAL          | 100                                          
151  | COLON                    | :                                            
152  | IDENTIFIER               | Holdback                                     
153  | LPAREN                   | (                                            
154  | IDENTIFIER               | X                                            
155  | RPAREN                   | )                                            
156  | KEYWORD_IF               | if                                           
157  | IDENTIFIER               | X                                            
158  | DOT                      | .                                            
159  | IDENTIFIER               | power                                        
160  | KEYWORD_IS               | is                                           
161  | INTEGER_LITERAL          | 100                                          
162  | COLON                    | :                                            
163  | IDENTIFIER               | Transform                                    
164  | LPAREN                   | (                                            
165  | IDENTIFIER               | X                                            
166  | RPAREN                   | )                                            
167  | KEYWORD_ELIF             | elif                                         
168  | IDENTIFIER               | X                                            
169  | DOT                      | .                                            
170  | IDENTIFIER               | power                                        
171  | RELATIONAL_LESS          | <                                            
172  | INTEGER_LITERAL          | 100                                          
173  | COLON                    | :                                            
174  | IDENTIFIER               | Holdback                                     
175  | LPAREN                   | (                                            
176  | IDENTIFIER               | X                                            
177  | RPAREN                   | )                                            
178  | KEYWORD_ELSE             | else                                         
179  | COLON                    | :                                            
180  | IDENTIFIER               | Run                                          
181  | LPAREN                   | (                                            
182  | IDENTIFIER               | X                                            
183  | RPAREN                   | )                                            
184  | KEYWORD_REPEAT           | repeat                                       
185  | INTEGER_LITERAL          | 3                                            
186  | KEYWORD_TIMES            | times                                        
187  | COLON                    | :                                            
188  | IDENTIFIER               | Run                                          
189  | LPAREN                   | (                                            
190  | IDENTIFIER               | X                                            
191  | RPAREN                   | )                                            
192  | KEYWORD_REPEAT           | repeat                                       
193  | KEYWORD_UNTIL            | until                                        
194  | IDENTIFIER               | X                                            
195  | DOT                      | .                                            
196  | IDENTIFIER               | energy                                       
197  | RELATIONAL_EQUAL_EQUAL   | ==                                           
198  | INTEGER_LITERAL          | 0                                            
199  | COLON                    | :                                            
200  | IDENTIFIER               | Run                                          
201  | LPAREN                   | (                                            
202  | IDENTIFIER               | X                                            
203  | RPAREN                   | )                                            
204  | KEYWORD_FOR              | for                                          
205  | IDENTIFIER               | i                                            
206  | RES_KEY_IN               | in                                           
207  | LBRACKET                 | [                                            
208  | INTEGER_LITERAL          | 1                                            
209  | COMMA                    | ,                                            
210  | INTEGER_LITERAL          | 2                                            
211  | COMMA                    | ,                                            
212  | INTEGER_LITERAL          | 3                                            
213  | COMMA                    | ,                                            
214  | INTEGER_LITERAL          | 4                                            
215  | COMMA                    | ,                                            
216  | INTEGER_LITERAL          | 5                                            
217  | RBRACKET                 | ]                                            
218  | COLON                    | :                                            
219  | IDENTIFIER               | jump                                         
220  | LPAREN                   | (                                            
221  | IDENTIFIER               | X                                            
222  | RPAREN                   | )                                            
223  | KEYWORD_SHOW             | show                                         
224  | KEYWORD_SCENE            | scene                                        
225  | DOT                      | .                                            
226  | IDENTIFIER               | Town                                         
227  | COLON                    | :                                            
228  | INVALID                  | “Town_Hall”                              
229  | KEYWORD_START            | start                                        
230  | COLON                    | :                                            
231  | RELATIONAL_LESS          | <                                            
232  | IDENTIFIER               | code                                         
233  | RELATIONAL_GREATER       | >                                            
234  | KEYWORD_START            | start                                        
235  | COLON                    | :                                            
236  | RELATIONAL_LESS          | <                                            
237  | IDENTIFIER               | code                                         
238  | RELATIONAL_GREATER       | >                                            
239  | KEYWORD_END              | end                                          
240  | IDENTIFIER               | X                                            
241  | DOT                      | .                                            
242  | IDENTIFIER               | emotion                                      
243  | ASSIGNMENT_ASSIGN        | =                                            
244  | INVALID                  | ‘happy’                                  
245  | IDENTIFIER               | X                                            
246  | DOT                      | .                                            
247  | IDENTIFIER               | emotion                                      
248  | KEYWORD_BECOMES          | becomes                                      
249  | INVALID                  | ‘angry’                                  
250  | KEYWORD_IF               | if                                           
251  | IDENTIFIER               | X                                            
252  | DOT                      | .                                            
253  | IDENTIFIER               | money                                        
254  | RELATIONAL_GREATER       | >                                            
255  | INTEGER_LITERAL          | 1000                                         
256  | KEYWORD_AND              | and                                          
257  | IDENTIFIER               | X                                            
258  | DOT                      | .                                            
259  | IDENTIFIER               | status                                       
260  | KEYWORD_IS               | is                                           
261  | INVALID                  | “Peasant”                                
262  | COLON                    | :                                            
263  | KEYWORD_IF               | if                                           
264  | KEYWORD_NOT              | not                                          
265  | IDENTIFIER               | X                                            
266  | DOT                      | .                                            
267  | IDENTIFIER               | status                                       
268  | KEYWORD_IS               | is                                           
269  | INVALID                  | “Rich”                                   
270  | NOISE_THEN               | then                                         
271  | KEYWORD_SHOW             | show                                         
272  | KEYWORD_SCENE            | scene                                        
273  | DOT                      | .                                            
274  | IDENTIFIER               | Garbage                                      
275  | COLON                    | :                                            
276  | INVALID                  | “Scavenging”                             
277  | KEYWORD_IF               | if                                           
278  | IDENTIFIER               | X                                            
279  | DOT                      | .                                            
280  | IDENTIFIER               | emotion                                      
281  | KEYWORD_IS               | is                                           
282  | INVALID                  | “happy”                                  
283  | KEYWORD_OR               | or                                           
284  | IDENTIFIER               | X                                            
285  | DOT                      | .                                            
286  | IDENTIFIER               | emotion                                      
287  | KEYWORD_IS               | is                                           
288  | INVALID                  | “grateful”                               
289  | NOISE_THEN               | then                                         
290  | KEYWORD_SHOW             | show                                         
291  | KEYWORD_SCENE            | scene                                        
292  | DOT                      | .                                            
293  | IDENTIFIER               | Party                                        
294  | COLON                    | :                                            
295  | INVALID                  | “Dancing”                                
296  | IDENTIFIER               | isHappy                                      
297  | ASSIGNMENT_ASSIGN        | =                                            
298  | IDENTIFIER               | True                                         
299  | IDENTIFIER               | isRich                                       
300  | ASSIGNMENT_ASSIGN        | =                                            
301  | IDENTIFIER               | False                                        
302  | KEYWORD_TEMPLATE         | template                                     
303  | IDENTIFIER               | can_enter_forest                             
304  | LPAREN                   | (                                            
305  | KEYWORD_CHARACTER        | character                                    
306  | RPAREN                   | )                                            
307  | COLON                    | :                                            
308  | KEYWORD_IF               | if                                           
309  | KEYWORD_CHARACTER        | character                                    
310  | DOT                      | .                                            
311  | IDENTIFIER               | trust                                        
312  | RELATIONAL_GREATER_EQUAL>= | >=                                           
313  | INTEGER_LITERAL          | 50                                           
314  | COLON                    | :                                            
315  | RES_KEY_RETURN           | return                                       
316  | IDENTIFIER               | True                                         
317  | KEYWORD_ELSE             | else                                         
318  | COLON                    | :                                            
319  | RES_KEY_RETURN           | return                                       
320  | IDENTIFIER               | False                                        
321  | KEYWORD_IF               | if                                           
322  | IDENTIFIER               | can_enter_forest                             
323  | LPAREN                   | (                                            
324  | IDENTIFIER               | Elio                                         
325  | RPAREN                   | )                                            
326  | COLON                    | :                                            
327  | KEYWORD_SHOW             | show                                         
328  | KEYWORD_SCENE            | scene                                        
329  | COLON                    | :                                            
330  | STRING_LITERAL           | "Forest"                                     
331  | KEYWORD_REPEAT           | repeat                                       
332  | KEYWORD_UNTIL            | until                                        
333  | IDENTIFIER               | X                                            
334  | DOT                      | .                                            
335  | IDENTIFIER               | energy                                       
336  | RELATIONAL_EQUAL_EQUAL   | ==                                           
337  | INTEGER_LITERAL          | 0                                            
338  | COLON                    | :                                            
339  | IDENTIFIER               | Run                                          
340  | LPAREN                   | (                                            
341  | IDENTIFIER               | X                                            
342  | RPAREN                   | )                                            
343  | KEYWORD_REPEAT           | repeat                                       
344  | INTEGER_LITERAL          | 3                                            
345  | KEYWORD_TIMES            | times                                        
346  | COLON                    | :                                            
347  | IDENTIFIER               | Run                                          
348  | LPAREN                   | (                                            
349  | IDENTIFIER               | X                                            
350  | RPAREN                   | )                                            
351  | KEYWORD_FOR              | for                                          
352  | KEYWORD_SCENE            | scene                                        
353  | RES_KEY_IN               | in                                           
354  | KEYWORD_SCENE            | scene                                        
355  | DOT                      | .                                            
356  | IDENTIFIER               | RedemptionArc                                
357  | COLON                    | :                                            
358  | KEYWORD_SHOW             | show                                         
359  | KEYWORD_SCENE            | scene                                        
360  | KEYWORD_ASK              | ask                                          
361  | STRING_LITERAL           | "Do you want to go left or right?"           
362  | NOISE_AS                 | as                                           
363  | KEYWORD_CHOICE           | choice                                       
364  | KEYWORD_IF               | if                                           
365  | KEYWORD_CHOICE           | choice                                       
366  | RELATIONAL_NOT_EQUAL     | !=                                           
367  | STRING_LITERAL           | "left"                                       
368  | KEYWORD_AND              | and                                          
369  | KEYWORD_CHOICE           | choice                                       
370  | RELATIONAL_NOT_EQUAL     | !=                                           
371  | STRING_LITERAL           | "right"                                      
372  | COLON                    | :                                            
373  | RES_KEY_ERROR            | error                                        
374  | STRING_LITERAL           | "Invalid choice! Must be 'left' or 'right'." 
375  | KEYWORD_CHARACTER        | character                                    
376  | IDENTIFIER               | X                                            
377  | COLON                    | :                                            
378  | RES_KEY_FIXED            | fixed                                        
379  | IDENTIFIER               | role                                         
380  | ASSIGNMENT_ASSIGN        | =                                            
381  | INVALID                  | “Protagonist”                            
382  | KEYWORD_FOR              | for                                          
383  | KEYWORD_SCENE            | scene                                        
384  | RES_KEY_IN               | in                                           
385  | KEYWORD_SHOW             | show                                         
386  | KEYWORD_SCENE            | scene                                        
387  | DOT                      | .                                            
388  | IDENTIFIER               | Adventure                                    
389  | COLON                    | :                                            
390  | KEYWORD_IF               | if                                           
391  | KEYWORD_SCENE            | scene                                        
392  | RELATIONAL_EQUAL_EQUAL   | ==                                           
393  | STRING_LITERAL           | "FinalBattle"                                
394  | COLON                    | :                                            
395  | RES_KEY_BREAK            | break                                        
396  | KEYWORD_SHOW             | show                                         
397  | KEYWORD_SCENE            | scene                                        
398  | KEYWORD_REPEAT           | repeat                                       
399  | KEYWORD_UNTIL            | until                                        
400  | IDENTIFIER               | X                                            
401  | DOT                      | .                                            
402  | IDENTIFIER               | trust                                        
403  | RELATIONAL_LESS          | <                                            
404  | INTEGER_LITERAL          | 100                                          
405  | COLON                    | :                                            
406  | IDENTIFIER               | X                                            
407  | DOT                      | .                                            
408  | IDENTIFIER               | trust                                        
409  | ASSIGNMENT_PLUS_ASSIGN   | +=                                           
410  | INTEGER_LITERAL          | 10                                           
411  | KEYWORD_IF               | if                                           
412  | IDENTIFIER               | X                                            
413  | DOT                      | .                                            
414  | IDENTIFIER               | trust                                        
415  | RELATIONAL_EQUAL_EQUAL   | ==                                           
416  | INTEGER_LITERAL          | 50                                           
417  | COLON                    | :                                            
418  | RES_KEY_CONTINUE         | continue                                     
419  | KEYWORD_DIALOGUE         | dialogue                                     
420  | IDENTIFIER               | X                                            
421  | COLON                    | :                                            
422  | STRING_LITERAL           | "Do you trust me yet?"                       
423  | KEYWORD_IF               | if                                           
424  | IDENTIFIER               | X                                            
425  | DOT                      | .                                            
426  | IDENTIFIER               | mood                                         
427  | RELATIONAL_EQUAL_EQUAL   | ==                                           
428  | STRING_LITERAL           | "neutral"                                    
429  | COLON                    | :                                            
430  | RES_KEY_PASS             | pass                                         
431  | KEYWORD_ELSE             | else                                         
432  | COLON                    | :                                            
433  | KEYWORD_DIALOGUE         | dialogue                                     
434  | IDENTIFIER               | X                                            
435  | COLON                    | :                                            
436  | STRING_LITERAL           | "I feel something."                          
437  | KEYWORD_IF               | if                                           
438  | IDENTIFIER               | X                                            
439  | DOT                      | .                                            
440  | IDENTIFIER               | mood                                         
441  | KEYWORD_IS               | is                                           
442  | STRING_LITERAL           | "happy"                                      
443  | COLON                    | :                                            
444  | KEYWORD_DIALOGUE         | dialogue                                     
445  | IDENTIFIER               | X                                            
446  | COLON                    | :                                            
447  | STRING_LITERAL           | "I'm feeling great!"                         
448  | KEYWORD_SHOW             | show                                         
449  | KEYWORD_CHARACTER        | character                                    
450  | RES_KEY_WITH             | with                                         
451  | IDENTIFIER               | mood                                         
452  | ASSIGNMENT_ASSIGN        | =                                            
453  | STRING_LITERAL           | "joyful"                                     
454  | KEYWORD_SHOW             | show                                         
455  | KEYWORD_SCENE            | scene                                        
456  | STRING_LITERAL           | "TownSquare"                                 
457  | RES_KEY_WITH             | with                                         
458  | IDENTIFIER               | time                                         
459  | ASSIGNMENT_ASSIGN        | =                                            
460  | STRING_LITERAL           | "sunset"                                     

Total tokens: 460
